,X5 3.0IA,8250000,;
,X5 3.0D,8150000,;
,X5 4.4I AUTO,10000000,;
,X5 4.8I AUTO,12000000,;
,X5 XDRIVE50NI 63 ZV81 ZV82,11671200,;
,X5 M S63 GY01 GY02,16878400,;
,X5 XDRIVEN35MI 55E70SAV  ZV41 ZV42,8141030,;
,X6 XDRIVE50NI 63 FG81 FG82,12056500,;
,X6 M N63 GZ01 GZ02,17210100,;
,X6 XDRIVE30ND57 FH61 FH62,8622980,;
,M3 S65 KG91 KG92,11105800,;
,M3 S65 DX91 DX92,12392300,;
,M3 S65 PM91 PM92,10607200,;
,M6 S85 EH91 EH92,19230900,;
,M6 S85 EK91 EK92,20517700,;
,Z4 E89 ROA SDRIVE23NI 52 LM32,5718940,;
,Z4 E89 ROA SDRIVE30NI 52 LM51 LM52,6614810,;
,Z4 E89 ROA SDRIVE35NI 54 LM71 LM72,7065400,;
,Z4 E89 ROA SDRIVE35NIS 54 LM11 LM12,8574940,;
,BMW MINI COOPER,2950000,;
,BMW Z3 ROADSTER,4200000,BMW:;
CHEVROLET:;,AVEO AVEO N/B T250,1770000,;
,OPTRA MANUAL,2045000,;
,OPTRA AUTO,2224000,;
,OPTRA AUTO LOADED,2458000,;
,CAPTIVA MANUAL,3353000,;
,CAPTIVA AUTO,3769000,;
,CAPTIVA AUTO LOADED,3839000,;
,AVEO NOTCHBACK,1450000,;
,AVEO,1395000,CHEVROLET:;
CHRYSLER;,200,3121680,;
,300 TOURING,4421780,;
,300 TOURING PLUS,4598580,;
,300 TOURING SIGNATURE SERIES,5171990,;
,300 V6 RWD,5171990,;
,300 TOURING AWD SIGNATURE SERIES VP,5506980,;
,300 C AWD,6496410,;
,PT CRUISER CLASSIC,2964340,;
,SEBRING TOURING,3245500,;
,SEBRING LIMITED,3587220,;
,TOWN AND COUNTRY LX NEW,4221450,;
,TOWN AND COUNTRY TOURING,4643190,;
,TOWN ANND COUNTRY TOURING PLUS,5297700,;
,TOWN AND TOURING WATTER P CHRYSLER SIGNATURE SERIES,5313920,;
,SEBRING CONVERTIBLE LX ,4517480,;
,SEBRING CONVERTIBLE TOURING,4738080,;
,SEBRING CONVERTIBLE LTD,5305810,;
,SEBRING CONVERTIBLE,3446100,;
,200 TOURING,3851920,CHRYSLER:;
CITROEN:;,CITROEN RELAY,4500000,;
,BERLINGO,1611000,;
,XSARA,1962000,;
,XANTIA,2421000,CITROEN:;
DAIHATSU:;,TERIOS DX MANUAL,2580000,;
,TERIOS DX MANUAL (WITH AIR CON),2679000,;
,TERIOS SX FULLY LOADED MANUAL,2949000,;
,TERIOS AUTOMATIC EFI FULLY LOADED,3048000,;
,YRV,1560300,;
,FEROZA,2089850,DAIHATSU:;
DAEWOO:;,CIELO GL-A,855000,;
,CIELO GLX,1152000,;
,CIELO GTX,115200,;
,MATIZ S,697500,;
,LANOS S,882000,;
,LANOS SE,1062000,;
,LANOS SX,1332000,;
,NUBIRA SE,1341000,;
,NUBIRA SX,1431000,;
,NUBIRA CDX,1611000,;
,ESPERO CD,2115000,;
,LEGANZA CDZ,2115000,;
,EICHER SKYLINE BUS,2025000,DAEWOO:;
FIAT:;,PALIO ED,1065600,;
,SIENA EL,1513800,;
,SIENA EL,1570500,;
,SIENA ELX,1790100,;
,WEEKEND ELX,1970100,FIAT:;
FORD:;,BANTAM 1.3,1250000,;
,BANTAM 1.6I,1650860,;
,BANTAM 1.8,1491750,;
,F250 D/C XLT,5862350,;
,F250 S/C XL,3887090,;
,FOCUS 1.6,2120000,;
,FOCUS H/BACK,2290000,;
,FORD FOCUS,2175000,;
,FORD 2500 1 TON 4 X 4 D/C - XLT,2995000,;
,RANGER 2.5 4X2 SC,1685000,;
,RANGER 2.5 4X4 SC (NM),2170000,;
,RANGER 2.5 D/C 4X2 P/UP (NM),2226370,;
,RANGER 2.5 D/C 4X4 BASE P/UP (NM),2575000,;
,RANGER 2.5 D/C XLT (NM),2995000,;
,RANGER 2.9 (1 TON LWB 4X4 S/C - XL),2275000,;
,RANGER 2.9 BASE (1 TON 4 X 4)DC P/U (DCAB),2375000,;
,RANGER 2.9 BASE (1TON LWB 4X4 S/C),1914950,;
,RANGER 2.9 DELUXE 4X4,2725000,;
,FORD TERRITORY,5742000,;
,FORD TERRITORY,6029100,;
,FORD MONDERO(AUTOMATIC),3761370,;
,FORD EVEREST  TDI,3798000,;
,FORD TELESTAR,1276030,;
,FORD COURIER,1625000,FORD:;
HONDA:;,CIVIC EXI,1575000,;
,CIVIC EXI-ABS,1665000,;
,HRV,2115000,;
,CRV,3060000,;
,ACCORD,1942500,;
,FIT,1380690,;
,PARTNER,1500000,;
,ODYSSEY,2798800,HONDA:;
HUMMER:;,H3 M/T,6225000,;
,H3 A/T,6345000,HUMMER:;
HYUNDAI:;,ACCENT 1.5GLS,1276090,;
,ACCENT 1.5GLS,1389850,;
,ACCENT 1.5LS A/C,1200000,;
,ATOS F LS AC 1.0,780000,;
,ELANTRA AUTO,1621910,;
,ELANTRA MANUAL,1503940,;
,ELANTRA MANUAL,2172350,;
,H-100 6 SEATER,1400000,;
,H-100 9 SEATER,1400000,;
,H-100 12 SEATER BUS,990000,;
,H-100 AU TRUCK,990000,;
,H-100 VAN,2795750,;
,SANTA FE,3082570,;
,SANTA FE AUTO,1650000,;
,SONATA GLS Y4,2915500,;
,SONATA GLS Y4 V6 AUTO,1503940,HYUNDAI:;
ISUZU:;,FRR 33 - MEDIUM BUS,4092000,;
,FRR 33L - CC,3990000,;
,FRR 33L- CAB BUS STD,4907000,;
,FRR 33L- CAB BUS SEMI LUXURY,5023000,;
,FRR 33L- CAB BUS LUXURY,5142000,;
,FRR 33L- CAB BUS SPECIAL EDITION,5397000,;
,FRR 33L- COWL STD,4690000,;
,FRR 33L- COWL SEMI LUXURY,4806000,;
,FRR 33L- COWL LUXURY,4925000,;
,FRR 33L- COWL SPECIAL EDITION,5180000,;
,FSR 33H(LONG WHEEL BASE),5501000,;
,FSR 33H BUS CHASSIS,4743000,;
,FTS 33 H,7271900,;
,FTS 33F CAB AND CHASSIS,8545000,;
,FVR 23M CC,5963000,;
,FVX 23S CC,7331000,;
,FVZ 23S CC,8068000,;
,MV 123 SWB BUS STD,7962000,;
,MV 123 SWB BUS SEMI LUXURY,8166000,;
,MV 123 SWB BUS LUXURY,8342000,;
,MV 123 SWB BUS SPECIAL EDITION,8613000,;
,MV 123 LWB BUS STD,8319000,;
,MV 123 LWB BUS SEMI LUXURY,8434000,;
,MV 123 LWB BUS LUXURY,8604000,;
,MV 123 LWB BUS SPECIAL EDITION,8969000,;
,NHR 55 E CC,1821000,;
,NHR 55 CAB,1513000,;
,NKR 66 CAB CHASSIS,2426000,;
,NKR 66 CAB BUS,2156000,;
,NPR 66 CAB CHASSIS,2822000,;
,NPR 66 CAB BUS ONLY(CHASSIS),2460000,;
,NPR 29 SEATER BUS SEMI LUXURY,3283000,;
,NQR 66 BUS,3159700,;
,NQR 66 CAB,2850000,;
,NQR 66R CAB CHASSIS,3419000,;
,NQR 70,3419000,;
,NQR 33 SEATER BUS SEMI LUXURY,3530000,;
,NQR MAX 37 SEATER BUS SEMI LUXURY,3800000,;
,JOURNEY BUS KK-SBVW41,2807000,;
,KB300 DC,3488400,;
,TFR 32 S/C I-190 4X2,1979000,;
,TFR 54 S/C I-190 4X2,1979000,;
,TFS 54 D/C,2395000,;
,TFS 77 D/C,2750000,;
,TFS 77 S/C,1950000,;
,TFS85 I-190 4X4 S/C,2421000,;
,TFS85 I-190 4X4 D/C,3700000,;
,TFS85 I-190 4X4 D/C ACCESSORIZED,3882000,;
,TFR 30,1395000,;
,TFS 54 S/C,1550000,;
,TFS 54 I-190 4X4 D/C,2650000,;
,TFS 54 I-190 4X4 D/C ACCESSORIZED,2766000,;
,COMO,2408080,;
,ISUZU BIGHORN,5050000,;
,TROOPER(UBS 25),4335750,;
,ISUZU PRIME MOVER,8200000,ISUZU:;
IVECO:;,ML 170 E IVECO,3929400,;
,IVECO ML 140E 18,6547780,;
,IVECO ML 2111 TURBO ,4966620,;
,MP380 E 37H/IP/MOVER,12500000,;
,MP70 E IVECO,10692600,;
,MP720,10169300,;
,STRALIS 6X2,8000000,;
,BERLINGO,1395000,;
,XANTIA,1395000,;
,XSARA,1995000,IVECO:;
JAC:;,JAC HFC1020 4X2 S/CAB LIGHT TRUCK,1720000,;
,JAC HFC1048 4X2 S/CAB LIGHT TRUCK,2095000,;
,JAC HFC1063 4X2 S/CAB LIGHT TRUCK TURBO,2425000,JAC:;
JAGUAR:;,JAGUAR S-TYPE,5037700,;
,JAGUAR X-6 TYPE,4550000,;
,XJ V6 PREMIUM LUXURY,10957900,;
,XJ V6 PORTFOLIO,12554600,;
,XJ PREMIUM LUXURY,13168300,;
,XJ V8 PORTFOLIO,14781700,;
,XJ V8 PORTFOLIO SUPERCHARGED,16189800,;
,XJ V8 SUPERCHARGED,18243700,;
,XJ V8 SUPERCHARGED LWB,19014000,;
,XK COUPE LUXURY,12026200,;
,XK CONVERTIBLE LUXURY,12974800,;
,XK COUPE PORTFOLIO,12737600,;
